route_id,service_id,trip_id,trip_short_name
1,1,16363,R
2,1,16321,R
3,1,16524,R
4,1,16344,R
5,1,16211,R
6,2,16232,R
7,1,16511,R
8,1,16355-2,R
9,1,16270,R
10,1,16153,R
11,3,16239,R
12,1,16204,R
13,1,16343,R
14,1,16515,R
15,3,16246,R
16,1,16279,R
17,3,16249,R
18,1,16673,R
1,1,16365,R
14,1,16517,R
19,1,16354,R
20,1,16686,R
21,1,16037,R
22,1,16190,R
23,1,16105,R
24,1,16100,R
13,1,16335,R
14,1,16519,R
25,1,16108,R
26,1,16188,R
27,3,16106,R
28,1,16319,R
9,1,16276,R
29,1,16157,R
30,3,16237,R
4,1,16346,R
6,3,16226,R
31,1,16502,R
32,1,16550,R
33,1,16014,R
34,1,16544,R
35,1,16152,R
5,1,16213,R
36,3,16103,R
37,1,16318,R
38,1,16179-2,R
39,1,16174,R
31,1,16504,R
31,1,16508,R
6,3,16220,R
40,1,16301,R
41,2,16234,R
42,1,16543,R
43,1,16689,R
44,1,16150,R
45,1,16366,R
7,1,16505,R
20,1,16680,R
46,1,16109,R
47,1,16020,R
48,1,16360,R
49,1,16541,R
18,1,16681,R
4,1,16340,R
50,1,16512,R
51,3,16223,R
20,1,16684,R
52,2,16235,R
53,2,16236,R
6,3,16224,R
54,1,16316,R
55,1,16122,R
56,1,16210,R
57,1,16314,R
58,3,16107,R
21,1,16035,R
59,1,16156,R
34,1,16540,R
60,1,16364,R
4,1,16342,R
31,1,16510,R
14,1,16521,R
9,1,16274,R
4,1,16334,R
61,1,16278,R
3,1,16520,R
62,3,16243,R
63,3,16238,R
13,1,16337,R
64,1,16111,R
31,1,16506,R
15,3,16248,R
65,1,16032,R
8,1,16353-2,R
6,3,16222,R
66,1,16127,R
67,1,16548,R
20,1,16674,R
67,1,16542,R
5,1,16209,R
18,1,16683,R
68,1,16142,R
69,1,16551,R
70,1,16180,R
13,1,16347,R
56,1,16214,R
71,1,16068,IR
47,1,16016,R
13,1,16345,R
19,1,16350,R
5,1,16215,R
4,1,16338,R
19,1,16356,R
14,1,16523,R
72,1,16183,R
50,1,16514,R
73,1,16012,R
56,1,16202,R
7,1,16501,R
13,1,16333,R
18,1,16685,R
74,3,16240,R
7,1,16509,R
75,2,16231,R
3,1,16522,R
76,1,16187,R
55,1,16124,R
20,1,16678,R
77,1,16302,R
78,1,16175,R
39,1,16170,R
79,3,16247,R
80,1,16148,R
81,1,16320,R
60,1,16362,R
65,1,16030,R
3,1,16516,R
82,1,16547,R
83,1,16181,R
51,3,16221,R
84,1,16271,R
85,1,16182,R
66,1,16123,R
18,1,16687,R
86,1,16203,R
75,2,16233,R
87,3,16242,R
9,1,16280,R
69,1,16545,R
8,1,16357-2,R
38,1,16169-2,R
88,1,16185,R
16,1,16275,R
89,1,16546,R
88,1,16189,R
51,3,16225,R
90,1,16019,R
16,1,16277,R
91,3,16244,R
38,1,16177-2,R
92,1,16367,R
41,2,16228,R
5,1,16205,R
18,1,16675,R
1,1,16361,R
4,1,16332,R
93,1,16147,R
94,1,16172,R
21,1,16031,R
37,1,16312,R
95,4,16088,IR
96,1,16113,R
18,1,16679,R
14,1,16525,R
39,1,16178,R
94,1,16176,R
97,2,16229,R
98,1,16184,R
56,1,16206,R
99,1,16011,R
2,1,16315,R
100,1,16149,R
4,1,16336,R
45,1,16368,R
101,1,16527,R
102,1,16067-2,IR
20,1,16676,R
38,1,16173-2,R
75,2,16227,R
103,1,16146,R
7,1,16503,R
104,1,16018,R
56,1,16212,R
31,1,16500,R
105,1,16110,R
40,1,16303,R
9,1,16272,R
4,1,16330,R
13,1,16331,R
99,1,16017,R
106,1,16101,R
35,1,16144,R
16,1,16283,R
107,2,16230,R
5,1,16207,R
35,1,16158,R
29,1,16145,R
87,3,16250,R
9,1,16282,R
29,1,16159,R
108,1,16323,R
109,1,16311,R
110,1,16310,R
14,1,16513,R
56,1,16208,R
18,1,16677,R
65,1,16034,R
111,1,16671,R
55,1,16120,R
13,1,16339,R
112,1,16126,R
8,1,16351-2,R
103,1,16154,R
13,1,16341,R
26,1,16186,R
7,1,16507,R
38,1,16171-2,R
16,1,16281,R
66,1,16121,R
25,1,16104,R
25,1,16102,R
3,1,16518,R
66,1,16125,R
53,2,16252,R
17,3,16241,R
90,1,16015,R
19,1,16352,R
51,3,16219,R
77,1,16300,R
20,1,16682,R
113,1,16313,R
20,1,16670,R
20,1,16672,R
114,1,16013,R
115,1,16317,R
116,1,16273,R
117,4,16089-2,IR
118,1,16155,R
119,1,16033,R
65,1,16036,R
39,1,16168,R
29,1,16151,R
120,3,16245,R
82,1,16549,R
121,5,1052,IR
122,5,1051,IR
123,6,15582,IR
124,6,15581,IR
125,7,15584,IR
126,8,15534,IR
126,9,15532,IR
127,10,15525,IR
128,10,15533,IR
129,7,15583,IR
128,8,15537,IR
130,11,15593-2,IR
127,12,15523,IR
131,13,15520,IR
132,14,15594,IR
131,15,15522,IR
126,8,15538,IR
133,16,15592,IR
126,10,15536,IR
134,17,15591,IR
128,13,15531,IR
128,10,15535,IR
135,18,15762,R
136,19,15819,R
137,20,15808,R
138,3,15711,R
139,1,15847,R
140,1,15807,R
141,2,15774,R
142,21,15739,R
143,22,15705,R
144,23,15839-2,R
145,1,15757,R
146,24,15830,R
136,1,15827,R
147,1,15835,R
136,1,15821,R
148,25,15868,R
149,26,15816,R
150,1,15833,R
140,20,15809,R
151,1,15892,R
152,27,15883,R
153,21,15733,R
154,21,15738,R
151,1,15884,R
155,28,15812,R
156,21,15736,R
157,29,15889,R
158,1,15875,R
159,2,15775,R
160,1,15836,R
161,1,15865,R
136,30,15825,R
160,1,15834,R
161,2,15871,R
137,2,15800,R
162,21,15730,R
141,2,15772,R
163,31,15822,R
150,24,15831,R
164,1,15887,R
165,2,15804,R
145,32,15763,R
166,33,15752,R
167,1,15853,R
168,1,15858,R
169,2,15706,R
170,2,15725,R
171,1,15856,R
172,2,15722,R
163,1,15824,R
173,34,15707,R
174,1,15718,R
151,1,15888,R
175,18,15750,R
176,3,15876,R
159,2,15771,R
175,18,15756,R
153,21,15735,R
148,25,15862,R
164,1,15891,R
159,2,15773,R
145,1,15761,R
148,1,15870,R
177,1,15844,R
163,35,15826,R
161,1,15869,R
177,36,15848,R
178,18,15751,R
179,1,15704,R
180,37,15838,R
163,1,15818,R
137,1,15806,R
181,1,15851,R
177,21,15846,R
182,1,15801,R
183,1,15850,R
184,2,15715,R
136,1,15817,R
154,38,15740,R
179,2,15700,R
163,1,15820,R
185,18,15780,R
186,27,15854,R
177,1,15842,R
138,1,15717,R
187,39,15852,R
188,1,15859,R
179,2,15702,R
170,2,15721,R
189,3,15877,R
148,1,15860,R
190,28,15813,R
158,2,15805,R
155,2,15810,R
191,18,15880,R
148,1,15864,R
172,2,15720,R
156,21,15732,R
172,2,15724,R
143,2,15703,R
192,1,15754,R
193,18,15755,R
156,21,15734,R
174,3,15712,R
164,2,15885,R
141,2,15770,R
137,1,15802,R
139,1,15843,R
194,1,15832,R
139,21,15849,R
151,2,15890,R
170,2,15723,R
173,2,15701,R
148,2,15866,R
161,25,15867,R
190,2,15811,R
192,1,15758,R
165,1,15874,R
136,40,15829,R
142,21,15731,R
195,27,15882,R
161,1,15861,R
196,41,15760,R
197,1,15753,R
198,2,15716-1,R
136,1,15823,R
199,38,15741,R
200,42,15857,R
164,1,15893,R
201,18,15759,R
152,18,15881,R
151,29,15886,R
202,27,15855,R
161,1,15863,R
148,1,15872,R
203,43,15710-1,R
150,1,15837,R
204,18,15781,R
153,21,15737,R
139,1,15845,R
205,44,2872,R
206,1,9473,R
207,1,9008,R
208,1,4205,R
